,lemmatized_cbow_win2_dim100,lemmatized_cbow_win2_dim300,lemmatized_cbow_win4_dim100,lemmatized_cbow_win4_dim300,lemmatized_skipgram_win2_dim100,lemmatized_skipgram_win2_dim300,lemmatized_skipgram_win4_dim100,lemmatized_skipgram_win4_dim300,stemmed_cbow_win2_dim100,stemmed_cbow_win2_dim300,stemmed_cbow_win4_dim100,stemmed_cbow_win4_dim300,stemmed_skipgram_win2_dim100,stemmed_skipgram_win2_dim300,stemmed_skipgram_win4_dim100,stemmed_skipgram_win4_dim300
lemmatized_cbow_win2_dim100,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_cbow_win2_dim300,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_cbow_win4_dim100,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_cbow_win4_dim300,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_win2_dim100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_win2_dim300,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_win4_dim100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemmatized_skipgram_win4_dim300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stemmed_cbow_win2_dim100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stemmed_cbow_win2_dim300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
stemmed_cbow_win4_dim100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
stemmed_cbow_win4_dim300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
stemmed_skipgram_win2_dim100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
stemmed_skipgram_win2_dim300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
stemmed_skipgram_win4_dim100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
stemmed_skipgram_win4_dim300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
